kategoria_z_ktorej_odstranit;kod_produktu;nazov;feed
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON549;Diaľkový ovládač ALIEN Amiko SSD 549 CX - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON549F;Diaľkový ovládač ALIEN Amiko SSD 549 FTA - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON550;Diaľkový ovládač ALIEN Amiko SSD 550 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON560;Diaľkový ovládač ALIEN Amiko SSD 560 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON570;Diaľkový ovládač ALIEN Amiko SSD 570 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON570A;Diaľkový ovládač ALIEN Amiko SSD 570 CX PVR - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON580A;Diaľkový ovládač ALIEN Amiko SSD 580 CXE PVR - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON600;Diaľkový ovládač ALIEN Ferguson RCU 600 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON6350;Diaľkový ovládač ALIEN Strong SRT 6350;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON6500;Diaľkový ovládač ALIEN Strong SRT 6500;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON6511;Diaľkový ovládač ALIEN Strong SRT 6511;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7010;Diaľkový ovládač ALIEN GoSat GS7010 HDi;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7020HDV2;Diaľkový ovládač ALIEN Dreambox 7020 HD V2;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7050;Diaľkový ovládač ALIEN GOSAT GS7050;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7055;Diaľkový ovládač ALIEN GOSAT GS7055;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7056;Diaľkový ovládač ALIEN GoSat 7056 HDi PVR - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7060;Diaľkový ovládač ALIEN GoSat GS7060 HDi;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7070;Diaľkový ovládač ALIEN GoSat GS7070 PVRi;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7080HD;Diaľkový ovládač ALIEN Dreambox 7080 HD;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON718;Diaľkový ovládač ALIEN Octagon SF 718, 908 HD;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7502;Diaľkový ovládač ALIEN Strong SRT 7502;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7504;Diaľkový ovládač ALIEN Strong SRT 7504;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON770;Diaľkový ovládač ALIEN Golden Interstar 770, 780, 801, 805, 830, 870 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7700;Diaľkový ovládač ALIEN Golden Interstar 7700, 7800, 8200, 8300, 8700 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7700T;Diaľkový ovládač ALIEN TOPFIELD TF7700HSCI;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7720;Diaľkový ovládač ALIEN Topfield TF 7720 HSIR;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7800;Diaľkový ovládač ALIEN Amiko IRD 7800   - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON7900;Diaľkový ovládač ALIEN Amiko SHD 7900   - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON800;Diaľkový ovládač ALIEN Openbox  X 800, 810, 820;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON800HD;Diaľkový ovládač ALIEN Dreambox 800 HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON800HDV2;Diaľkový ovládač ALIEN Dreambox 800 HD Se V2;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON800IR;Diaľkový ovládač ALIEN Opensat 800 IR;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8100;Diaľkový ovládač ALIEN Homecast HS 8100, 9000 CI PVR - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8150;Diaľkový ovládač ALIEN Amiko HD 8150 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8200;Diaľkový ovládač ALIEN Amiko SHD 8200 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON820HD;Diaľkový ovládač ALIEN Dreambox 820 HD;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8240A;Diaľkový ovládač ALIEN Amiko SHD 8240 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8250;Diaľkový ovládač ALIEN Amiko SHD 8250, 8260, 8270 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8265;Diaľkový ovládač ALIEN Amiko SHD 8265+   - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8300;Diaľkový ovládač ALIEN Amiko SHD 8300 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8340;Diaľkový ovládač ALIEN Amiko SHD 8340 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8400;Diaľkový ovládač ALIEN Amiko SHD 8440 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8550;Diaľkový ovládač ALIEN AMIKO 8550 IR;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8800;Diaľkový ovládač ALIEN Amiko STHD 8800 CICXE PVR - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8820;Diaľkový ovládač ALIEN Amiko STHD 8820 CICXE PVR - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8840;Diaľkový ovládač ALIEN Amiko SHD 8840 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8900;Diaľkový ovládač ALIEN Ferguson HF 8900 HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8900A;Diaľkový ovládač ALIEN Amiko SHD 8900 Alien - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON8900A2;Diaľkový ovládač ALIEN Amiko Alien 2 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON9000;Diaľkový ovládač ALIEN AB IPBOX 9000 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON9060;Diaľkový ovládač ALIEN Golden Media UNI-BOX 9060, 9080 CRCI HD PVR - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON9060CLASS;Diaľkový ovládač ALIEN Golden Media UNI-BOX 9060, 9080 CRCI HD PVR Class+ - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON918;Diaľkový ovládač ALIEN Octagon SF 918 HD;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON9700;Diaľkový ovládač ALIEN Opensat 9700 HD PVR;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DON9900;Diaľkový ovládač ALIEN Opensat 9900 HD PVR;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONALIGATOR;Diaľkový ovládač ALIEN Optibox Aligator;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONALLBOX;Diaľkový ovládač ALIEN Allbox HD3500IR - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONAMIKOMIRA;Diaľkový ovládač ALIEN Amiko MIRA - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONAMIKOVIPER;Diaľkový ovládač ALIEN Amiko VIPER SLIM - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONAMIKOVIPERCO;Diaľkový ovládač ALIEN Amiko VIPER COMBO - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONANACONDA;Diaľkový ovládač ALIEN Optibox Anaconda;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONAPEBOX;Diaľkový ovládač ALIEN APEBOX C2 4K Combo - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONAS1HD;Diaľkový ovládač ALIEN Openbox AS1 HD;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONBEN110;Diaľkový ovládač ALIEN Bensat 110 FTA - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONBEN130;Diaľkový ovládač ALIEN Bensat 130 HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONBEN150;Diaľkový ovládač ALIEN Bensat 150HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONBEN210;Diaľkový ovládač ALIEN BENsat 210 IR;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONBEN290;Diaľkový ovládač ALIEN BENsat 290 IR;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONBS5060;Diaľkový ovládač ALIEN Evolveo BlackStar HD-5060 náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONCOM;Diaľkový ovládač ALIEN Amiko MINI COMBO - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONCOMSE;Diaľkový ovládač ALIEN Amiko Mini combo HD SE - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONCRY;Diaľkový ovládač ALIEN AB CryptoBox 500 mini HD, 500 HD, 550 HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONCRY4;Diaľkový ovládač ALIEN AB CryptoBox 400 mini HD, 400 HD, 450 HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONCRY6;Diaľkový ovládač ALIEN AB CryptoBox 600, 650, 652 HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONCRY700;Diaľkový ovládač ALIEN AB CryptoBox 700 HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONCRY702STB;Diaľkový ovládač ALIEN STB AB CryptoBox 702T - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONCRY750;Diaľkový ovládač ALIEN AB CryptoBox 750 HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONCRY752;Diaľkový ovládač ALIEN AB CryptoBox 752 HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONCRY752STB;Diaľkový ovládač ALIEN STB AB CryptoBox 752 HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONCRYSMART;Diaľkový ovládač ALIEN AB Cryptobox SMART - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONDIGIT;Diaľkový ovládač ALIEN Technisat DIGIT SIR;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONDIW265;Diaľkový ovládač ALIEN DI-WAY IRD-265HD;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONDIZIP;Diaľkový ovládač ALIEN Dizipia ds4h-35irs;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONEDPIC;Diaľkový ovládač ALIEN Edision Piccollino LED;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONELITEHD;Diaľkový ovládač ALIEN AZ BOX ELITE HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONEOCO;Diaľkový ovládač ALIEN AMIKO NEO COMBO SE;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONEOTW;Diaľkový ovládač ALIEN AMIKO NEO TWIN SE;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONEXTRACX;Diaľkový ovládač ALIEN Optibox Extra CX;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONEXTRACXH;Diaľkový ovládač ALIEN Optibox Extra HDMI;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONHT2100;Diaľkový ovládač ALIEN Homecast HT2100T2 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONHX506;Diaľkový ovládač ALIEN Humax HX 506 DIGI TV - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONI500HD;Diaľkový ovládač ALIEN Inetbox 500 HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONIN1;Diaľkový ovládač ALIEN iNEOS IN1 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONIN3;Diaľkový ovládač ALIEN iNEOS IN3 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONINZX2;Diaľkový ovládač ALIEN iNEOS ZX2;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONINZX4;Diaľkový ovládač ALIEN iNEOS ZX4;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONIRLINE;Diaľkový ovládač ALIEN Opensat IR Line Alpha;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONKAON;Diaľkový ovládač ALIEN Kaon KSF- SA 276 IR, 275 IR, 700 IR, 710 IR - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONKAON660;Diaľkový ovládač ALIEN Kaon KSC 660, KTSC 660, KSC 570 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONKAONDI;Diaľkový ovládač ALIEN Kaon NA1170 Nové Digi TV - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONKAONDTV;Diaľkový ovládač Kaon Digi TV;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONKAONMZ102;Diaľkový ovládač ALIEN Kaon MZ-102 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONLINK7;Diaľkový ovládač ALIEN LinkBox 7 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONLINKBOXHD;Diaľkový ovládač ALIEN LinkBox HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONLINKIRDHD;Diaľkový ovládač ALIEN LinkBox Irdetino HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONMINIHD;Diaľkový ovládač ALIEN Amiko Mini HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONMULTIBOX;Diaľkový ovládač ALIEN Multibox HD;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONNBOX;Diaľkový ovládač ALIEN Openbox E2 N-BOX, N-BOX ITI 5800 S (nc+);atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONOEN;Diaľkový ovládač ALIEN Optibox Enfinity;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONPANTH;Diaľkový ovládač ALIEN Optibox Panthera;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONPOLYC;Diaľkový ovládač ALIEN Polygon COMBO;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONPOLYE;Diaľkový ovládač ALIEN Polygon EASY;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONPOLYM;Diaľkový ovládač ALIEN Polygon MEDIUM;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONS1;Diaľkový ovládač ALIEN Openbox S1;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONS2;Diaľkový ovládač ALIEN Technisat TechniStar S2;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONS5000;Diaľkový ovládač ALIEN Showbox Vitamin 5000;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONSATEL;Diaľkový ovládač ALIEN SatElita 2000 HD;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONSLINE;Diaľkový ovládač ALIEN Opensat S Line;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONSPIDER;Diaľkový ovládač ALIEN Optibox Spider;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONSPIEL;Diaľkový ovládač ALIEN Amiko Spiel - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONSUN;Diaľkový ovládač ALIEN Sunsat S200HDi;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONSUN300;Diaľkový ovládač ALIEN Sunsat S300HDi;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONSUN400;Diaľkový ovládač ALIEN Sunsat S400HDi;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONT10;Diaľkový ovládač ALIEN Globo FS 10 P - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONT50;Diaľkový ovládač ALIEN Globo Opticum T50 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONT65;Diaľkový ovládač ALIEN Ferguson T65 mini - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONT80E;Diaľkový ovládač ALIEN Globo Opticum T80 ECO - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONT90;Diaľkový ovládač ALIEN Globo Opticum T90 HD - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONTE3000;Diaľkový ovládač ALIEN TESLA TE-3000;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONTELIT;Diaľkový ovládač ALIEN Telit Galileo;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONTEMEDIA;Diaľkový ovládač ALIEN TESLA MediaBox X500;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONTES2100;Diaľkový ovládač ALIEN TESLA TS 2100;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONTF3000;Diaľkový ovládač ALIEN Topfield TF S3000RHD;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONTH812;Diaľkový ovládač ALIEN Thomson THS 812;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONTH813;Diaľkový ovládač ALIEN Thomson THS 813;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONTH815;Diaľkový ovládač ALIEN Thomson THS 815;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONTSCX;Diaľkový ovládač ALIEN Optibox Combo TSCX;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONX402;Diaľkový ovládač ALIEN Globo Opticum X402, X403 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONX406;Diaľkový ovládač ALIEN Globo Opticum X405, X406 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONX4813;Diaľkový ovládač ALIEN Globo Opticum X4, X8, X13 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONX7000;Diaľkový ovládač ALIEN Opensat X 7000, 7000 CI;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONX80;Diaľkový ovládač ALIEN Globo Opticum X80 - náhrada;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONX9000HDCI;Diaľkový ovládač ALIEN Opensat  X 9000 HDCI;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DONZEBRA;Diaľkový ovládač ALIEN Optibox Zebra;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DOSAMEVOS;Diaľkový ovládač ALIEN SAMSUNG Skylink EVO-S;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DOSKYTECP;Skytec PREMIUM diaľkový ovládač Optibox Anaconda / Skytec / HDBOX;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DOSYNT65N;Diaľkový ovládač ALIEN Synaps T-65;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DOSYZR300;SYNAPS ZR 300 diaľkový ovládač;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DOUNI1;Diaľkový ovládač ALIEN Skytec JOBI, KLEIO, NERINE, BLACKBOX;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DOZGH5;Diaľkový ovládač ALIEN ZGEMMA H5;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DOZGH7S;Diaľkový ovládač ALIEN ZGEMMA H7S;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DOZGH92H;Diaľkový ovládač ALIEN ZGEMMA H9.2H;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DOZGH92S;Diaľkový ovládač ALIEN ZGEMMA H9.2S;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DOZGH9C;Diaľkový ovládač ALIEN ZGEMMA H9 Combo;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DOZGH9S;Diaľkový ovládač ALIEN ZGEMMA H9S;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;DOZIRJAZZ;Diaľkový ovládač Zircon JAZZ;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;EMERX7710;Diaľkový ovládač ALIEN Topfield TF 7710;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;FERGDO;Diaľkový ovládač Ferguson 1018, 2018, 2818, 6318, 7318, ARION, POWERSKY;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;FERGRCU500V2;Diaľkový ovládač Ferguson RCU 500;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;GLDODF00;Diaľkový ovládač Opticum LION 2  - DF00;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;GLDOZEB;Optibox Zebra diaľkový ovládač (s PVR) - originálny;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;GOSDO7056P;Diaľkový ovládač GoSat GS7056 HDi;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;GOSDO7060P;Diaľkový ovládač GoSat GS7060 HDi;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;IST-ACSFORDO02;Diaľkový ovládač Formuler S-Turbo, S-mini, Z;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;IST-DOVAM00022;AMIKO diaľkové ovládanie Univerzálny, HD - SD;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;IST-DOVAM00024;Diaľkový ovládač Amiko CCC - originál;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;IST-DOVOB00010;Optibox mini Zebra HD SE new diaľkový ovládač - originál;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;IST-DOVTE00098;Diaľkový ovládač Kaon MZ-50, MZ-52, MZ-102, MZ-104;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;IST-DOVTE3000;Diaľkový ovládač TESLA TE-3000;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;IST-DOVZC00001;Zircon diaľkový ovládač econ/smART - baterie AAA;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;IST-DOVZC00002;ZIRCON diaľkový ovládač pro DVB-T T-hd / T2-hd;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;MASDO;Mascom diaľkový ovládač MC 2300, MC 5300, MC 5301;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;SHOWDO;Showbox diaľkový ovládač S-300, S500, S700;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;SHOWDOVIT;Showbox diaľkový ovládač Vitamin HD;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;SMARDO;Diaľkový ovládač ALIEN Smart MX16, MX18, MX26;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;SPR-491050;Diaľkový ovládač DI-WAY IRD-265HD / HD-BOX HS-265IRD;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;SPR-491063;Strong diaľkový ovládač SRT 7504, 8211;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;SPR-49151;Diaľkový ovládač Octagon SF8008, SX04 RCU s TV tlačidlom;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;SPR-49152;Octagon  SF128, SF138 diaľkový ovládač - originál;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;SPR-49154;Octagon diaľkový ovládač SF4008 4K UHD - originál;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;SPR-56340;Dreamsky HD6 Duo/HD-BOX/OCTAGON/OPENBOX FORTIS originálny diaľkový ovládač;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;TEDOSIR;Vysielač DO TechniSat TechniControl;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;TEDOSIRSN;Diaľkový ovládač ALIEN Technisat TechniStar SIR;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;TIP-09910845;Diaľkový ovládač Sunsat S400HDi;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;TOPFDO6000R;Diaľkový ovládač Topfield TF6000CR;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;TOPFDO7710;Topfield diaľkový ovládač TF 7710 strieborný;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;TOPFDO7710B;Topfield diaľkový ovládač TF 7710 čierny;atos
TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače;UNIDO1;Diaľkový ovládač ALIEN HD-BOX FS-7119;atos
